parameter_group_id,changed_parameter,temperature_k,thermal_voltage_v,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,3,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.35,0.0,0.0,-0.35,0.01,-2.81429528103251e-09,2.814295281036621e-09,-1.688577168619506e-11,1.6885771686219725e-11,4.110674054082271e-21,1.4606406377400955e-12,-0.164138747680266,14676861535814.092,0.03976871899794787,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,4,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.3,0.0,0.0,-0.3,0.01,-6.79803672784744e-09,6.798036727842041e-09,-4.078822036708464e-11,4.078822036705225e-11,-5.399007858133612e-21,7.942010427830062e-13,-0.13916929053575672,38555380994650.766,0.03931462900072802,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,5,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.25,0.0,0.0,-0.25,0.01,-1.6561208985024152e-08,1.656120898502756e-08,-9.936725391014491e-11,9.936725391016536e-11,3.407984123718474e-21,2.0578111940979185e-13,-0.11424457985285207,101103933681695.42,0.03851385800226126,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,6,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.2,0.0,0.0,-0.2,0.01,-4.061372833270638e-08,4.061372833270707e-08,-2.436823699962383e-10,2.436823699962424e-10,6.948317145445432e-22,1.710829670333371e-14,-0.08943120788227929,263962379689174.06,0.04339415000140434,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,7,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.15,0.0,0.0,-0.15,0.01,-9.968379386297732e-08,9.9683793862971e-08,-5.98102763177864e-10,5.98102763177826e-10,-6.326277324805556e-21,6.346344856719124e-14,-0.06489271154649566,681727707940020.2,0.038597687998844776,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,8,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.1,0.0,0.0,-0.1,0.01,-2.4142008492076154e-07,2.4142008492075143e-07,-1.4485205095245693e-09,1.4485205095245085e-09,-1.011145580784821e-20,4.188324186517859e-14,-0.04100932784576478,1715891505045579.0,0.039884887999505736,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,9,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.05,0.0,0.0,-0.05,0.01,-5.603609473994756e-07,5.603609473994763e-07,-3.3621656843968537e-09,3.362165684396858e-09,6.352747104407253e-22,1.1336884081392696e-15,-0.018549627861549674,4084411462863897.0,0.04049224399932427,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,10,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.0,0.0,0.0,0.0,0.01,-1.1930966936239762e-06,1.1930966936239798e-06,-7.158580161743857e-09,7.1585801617438785e-09,3.5998900258307764e-21,3.017265947570658e-15,0.001332691319669748,8792236312879518.0,0.03823466500034556,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,11,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.05,0.0,0.0,0.05,0.01,-2.243559487785063e-06,2.2435594877850616e-06,-1.3461356926710377e-08,1.346135692671037e-08,-1.2705494208814505e-21,5.663096645303534e-16,0.017648561760206974,1.6481049918011626e+16,0.04480140400119126,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,12,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.1,0.0,0.0,0.1,0.01,-3.700428574078767e-06,3.7004285740787434e-06,-2.2202571444472604e-08,2.2202571444472462e-08,-2.371692252312041e-20,6.409236673085849e-15,0.030249531738275284,2.676615586916425e+16,0.04135793899331475,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,13,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.15,0.0,0.0,0.15,0.01,-5.462041732526001e-06,5.462041732526014e-06,-3.277225039515601e-08,3.277225039515609e-08,1.2705494208814505e-20,2.326143744591756e-15,0.039725363314865605,3.854225028782632e+16,0.040209560000221245,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,14,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.2,0.0,0.0,0.2,0.01,-7.412956638914972e-06,7.4129566389148655e-06,-4.447773983348983e-08,4.447773983348919e-08,-1.0672615135404184e-19,1.4397244790799592e-14,0.04685755866596013,5.071597384095385e+16,0.03859154599922476,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,15,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.25,0.0,0.0,0.25,0.01,-9.462693911699197e-06,9.462693911699367e-06,-5.677616347019518e-08,5.67761634701962e-08,1.6940658945086007e-19,1.7902575210787624e-14,0.052304628007629216,6.254748623536028e+16,0.04063215899805073,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,16,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.3,0.0,0.0,0.3,0.01,-1.1549445541373153e-05,1.1549445541373129e-05,-6.929667324823892e-08,6.929667324823877e-08,-2.371692252312041e-20,2.053511784454081e-15,0.056544883007083165,7.36401270624011e+16,0.03923808399849804,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,17,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.35,0.0,0.0,0.35,0.01,-1.3633155085927868e-05,1.3633155085927829e-05,-8.179893051556721e-08,8.179893051556697e-08,-3.8963515573697816e-20,2.8579969440761315e-15,0.05991023918327385,8.382967866404534e+16,0.04256127499684226,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,18,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.4,0.0,0.0,0.4,0.01,-1.5688469780507097e-05,1.5688469780507118e-05,-9.413081868304259e-08,9.413081868304271e-08,2.0328790734103208e-20,1.2957790669528316e-15,0.06262985128503153,9.30861550607405e+16,0.03925422499742126,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,19,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.45,0.0,0.0,0.45,0.01,-1.7699657872945354e-05,1.7699657872945472e-05,-1.0619794723767213e-07,1.0619794723767284e-07,1.1858461261560205e-19,6.699825130341228e-15,0.06486366097371234,1.0144894339019608e+17,0.042469216998142656,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,20,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.5,0.0,0.0,0.5,0.01,-1.965725697832039e-05,1.9657256978320098e-05,-1.1794354186992233e-07,1.1794354186992059e-07,-2.913793338554793e-19,1.4822990520846118e-14,0.066725187703265,1.0898877096719963e+17,0.03374597000220092,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,21,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.55,0.0,0.0,0.55,0.01,-2.155591042715199e-05,2.155591042715182e-05,-1.2933546256291194e-07,1.293354625629109e-07,-1.6940658945086007e-19,7.858939200149684e-15,0.0682964942120616,1.1578688929258678e+17,0.03261002400540747,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,22,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.6,0.0,0.0,0.6,0.01,-2.3392967118616967e-05,2.3392967118617238e-05,-1.403578027117018e-07,1.4035780271170343e-07,2.710505431213761e-19,1.1586838973738444e-14,0.06963798865793097,1.2192435109110224e+17,0.03476941099506803,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,23,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.65,0.0,0.0,0.65,0.01,-2.5167565654035183e-05,2.5167565654034624e-05,-1.510053939242111e-07,1.5100539392420775e-07,-5.590417451878382e-19,2.2212785808237498e-14,0.07079490921126312,1.274769258296556e+17,0.03316109500156017,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,24,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.7,0.0,0.0,0.7,0.01,-2.6880027442441277e-05,2.6880027442442047e-05,-1.6128016465464766e-07,1.612801646546523e-07,7.691059161069047e-19,2.861254207250287e-14,0.07180167864808575,1.3251305666177562e+17,0.03422937799768988,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,25,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.75,0.0,0.0,0.75,0.01,-2.85314494905187e-05,2.8531449490519663e-05,-1.711886969431122e-07,1.7118869694311798e-07,9.622294280808852e-19,3.372522059913611e-14,0.07268487779972853,1.3709339733937157e+17,0.0326066399939009,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,26,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.8,0.0,0.0,0.8,0.01,-3.012342820263897e-05,3.012342820263873e-05,-1.807405692158338e-07,1.807405692158324e-07,-2.371692252312041e-19,7.873248145455995e-15,0.07346531051699728,1.4127112492585208e+17,0.03327868000633316,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,27,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.85,0.0,0.0,0.85,0.01,-3.165787043737222e-05,3.165787043737322e-05,-1.899472226242333e-07,1.899472226242393e-07,1.0028870095490916e-18,3.167891572280707e-14,0.07415946144285523,1.4509259459244374e+17,0.033998109996900894,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,28,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.9,0.0,0.0,0.9,0.01,-3.3136863501807014e-05,3.313686350180507e-05,-1.988211810108421e-07,1.9882118101083043e-07,-1.9447876468958736e-18,5.868955119393907e-14,0.07478054131688958,1.4859810845960803e+17,0.03245141400111606,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,29,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.95,0.0,0.0,0.95,0.01,-3.456258546147579e-05,3.456258546147611e-05,-2.073755127688547e-07,2.0737551276885667e-07,3.2526065174565133e-19,9.410773164183302e-15,0.07533924759837274,1.518226833779193e+17,0.032411139996838756,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,30,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,1.0,0.0,0.0,1.0,0.01,-3.593724333278649e-05,3.593724333278673e-05,-2.1562345999671894e-07,2.156234599967204e-07,2.439454888092385e-19,6.7880968651448835e-15,0.07584432558886496,1.5479676378982486e+17,0.03252518500084989,True
P5,lattice_temperature_k,350.0,0.030160666417,top_primary,top_gate,bottom_gate,forward,0,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.5,0.0,0.0,-0.5,0.01,-6.945440894441575e-10,6.945440894357022e-10,-4.167264536664945e-12,4.167264536614213e-12,-8.45523342636391e-21,1.2173789331546426e-11,-0.2391225877037587,3095384606231.8687,0.04677188599453075,True
